,power,time
0,407.74426666666665,2017-05-14 00:00:00
1,407.7615666666666,2017-05-14 00:01:00
2,407.6850666666668,2017-05-14 00:02:00
3,406.6438500000001,2017-05-14 00:03:00
4,405.9745166666668,2017-05-14 00:04:00
5,406.03819999999996,2017-05-14 00:05:00
6,406.1028666666666,2017-05-14 00:06:00
7,405.6411999999999,2017-05-14 00:07:00
8,405.80901666666676,2017-05-14 00:08:00
9,407.6228833333332,2017-05-14 00:09:00
10,342.47878333333335,2017-05-14 00:10:00
11,328.4859000000001,2017-05-14 00:11:00
12,329.3024499999999,2017-05-14 00:12:00
13,328.9296833333334,2017-05-14 00:13:00
14,330.2170333333333,2017-05-14 00:14:00
15,332.2189833333333,2017-05-14 00:15:00
16,331.0196333333334,2017-05-14 00:16:00
17,331.1038833333333,2017-05-14 00:17:00
18,337.0686666666667,2017-05-14 00:18:00
19,343.2187500000001,2017-05-14 00:19:00
20,344.72524999999996,2017-05-14 00:20:00
21,344.13169999999997,2017-05-14 00:21:00
22,347.45961666666665,2017-05-14 00:22:00
23,344.58041666666674,2017-05-14 00:23:00
24,344.7060166666665,2017-05-14 00:24:00
25,395.3163166666667,2017-05-14 00:25:00
26,381.82624999999996,2017-05-14 00:26:00
27,379.2344166666667,2017-05-14 00:27:00
28,410.9533,2017-05-14 00:28:00
29,407.94169999999997,2017-05-14 00:29:00
30,408.6488999999999,2017-05-14 00:30:00
31,408.32236666666665,2017-05-14 00:31:00
32,407.8569833333333,2017-05-14 00:32:00
33,407.0783,2017-05-14 00:33:00
34,408.0790666666668,2017-05-14 00:34:00
35,407.24075000000005,2017-05-14 00:35:00
36,407.86658333333344,2017-05-14 00:36:00
37,413.87395,2017-05-14 00:37:00
38,411.3884666666668,2017-05-14 00:38:00
39,408.8900166666668,2017-05-14 00:39:00
40,408.67516666666666,2017-05-14 00:40:00
41,407.1152333333332,2017-05-14 00:41:00
42,407.21691666666663,2017-05-14 00:42:00
43,406.61940000000004,2017-05-14 00:43:00
44,406.73203333333333,2017-05-14 00:44:00
45,407.1944833333333,2017-05-14 00:45:00
46,405.8810666666667,2017-05-14 00:46:00
47,405.2491000000001,2017-05-14 00:47:00
48,405.62066666666675,2017-05-14 00:48:00
49,406.1029333333332,2017-05-14 00:49:00
50,406.3630166666667,2017-05-14 00:50:00
51,405.19825000000003,2017-05-14 00:51:00
52,406.09018333333336,2017-05-14 00:52:00
53,407.23116666666664,2017-05-14 00:53:00
54,407.04126666666673,2017-05-14 00:54:00
55,404.6193,2017-05-14 00:55:00
56,403.3293499999999,2017-05-14 00:56:00
57,402.00688333333335,2017-05-14 00:57:00
58,403.13520000000017,2017-05-14 00:58:00
59,401.6197833333333,2017-05-14 00:59:00
60,400.4564333333335,2017-05-14 01:00:00
61,399.6578666666667,2017-05-14 01:01:00
62,400.58786666666674,2017-05-14 01:02:00
63,400.2260333333333,2017-05-14 01:03:00
64,403.3950166666667,2017-05-14 01:04:00
65,403.89353333333327,2017-05-14 01:05:00
66,403.48496666666665,2017-05-14 01:06:00
